date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:08:16	186474/186474	---M-Z	200	added ('OK')	image/svg+xml	etag:%225eb04014-2d86a%22	https://cdnjs.cloudflare.com/ajax/libs/typicons/2.0.9/typicons.svg	C:/Users/dell%207280/Downloads/bna/bna/cdnjs.cloudflare.com/ajax/libs/typicons/2.0.9/typicons.svg	(from https://cdnjs.cloudflare.com/ajax/libs/typicons/2.0.9/typicons.min.css)
20:08:17	143/143	---M--	302	error ('Found')	text/html	date:Tue,%2025%20Jan%202022%2017:08:27%20GMT	https://github.com/Polyphian/repo/raw/master/assets/img/Depths.png	C:/Users/dell%207280/Downloads/bna/bna/github.com/Polyphian/repo/raw/master/assets/img/Depths.21.delayed	(from https://broank.bss.design/Laetus.html)
20:08:18	862887/862887	---M--	200	added ('OK')	image/png	etag:%2261ef1f9a-d2aa7%22	https://broank.bss.design/assets/img/iconsDepths.png?h=5f396d500eadce734f8d695454471851	C:/Users/dell%207280/Downloads/bna/bna/broank.bss.design/assets/img/iconsDepths0381.png	(from https://broank.bss.design/Icons.html)
20:08:18	671283/671283	---M--	200	added ('OK')	image/png	etag:%2261ef1f9a-a3e33%22	https://broank.bss.design/assets/img/iconsSursei.png?h=4ba5311fb9b1d7de696132895b951e66	C:/Users/dell%207280/Downloads/bna/bna/broank.bss.design/assets/img/iconsSursei473d.png	(from https://broank.bss.design/Icons.html)
20:08:18	330813/330813	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Jan%202022%2017:08:28%20GMT	https://raw.githubusercontent.com/Polyphian/repo/master/assets/img/Depths.png	C:/Users/dell%207280/Downloads/bna/bna/raw.githubusercontent.com/Polyphian/repo/master/assets/img/Depths.png	(from https://broank.bss.design/Laetus.html)
20:08:18	147/147	---M--	302	error ('Found')	text/html	date:Tue,%2025%20Jan%202022%2017:08:28%20GMT	https://github.com/Polyphian/repo/raw/master/assets/img/Depths%20D.png	C:/Users/dell%207280/Downloads/bna/bna/github.com/Polyphian/repo/raw/master/assets/img/Depths%20D.23.delayed	(from https://broank.bss.design/Laetus.html)
20:08:19	257568/257568	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Jan%202022%2017:08:28%20GMT	https://raw.githubusercontent.com/Polyphian/repo/master/assets/img/Depths%20D.png	C:/Users/dell%207280/Downloads/bna/bna/raw.githubusercontent.com/Polyphian/repo/master/assets/img/Depths%20D.png	(from https://broank.bss.design/Laetus.html)
20:08:19	147/147	---M--	302	error ('Found')	text/html	date:Tue,%2025%20Jan%202022%2017:08:29%20GMT	https://github.com/Polyphian/repo/raw/master/assets/img/Depths%20N.png	C:/Users/dell%207280/Downloads/bna/bna/github.com/Polyphian/repo/raw/master/assets/img/Depths%20N.25.delayed	(from https://broank.bss.design/Laetus.html)
20:08:20	435056/435056	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Jan%202022%2017:08:29%20GMT	https://raw.githubusercontent.com/Polyphian/repo/master/assets/img/Depths%20N.png	C:/Users/dell%207280/Downloads/bna/bna/raw.githubusercontent.com/Polyphian/repo/master/assets/img/Depths%20N.png	(from https://broank.bss.design/Laetus.html)
20:08:20	1386467/1386467	---M--	200	added ('OK')	image/png	etag:%2261ef1f9a-1527e3%22	https://broank.bss.design/assets/img/Laetus.png?h=d1eeff7ba33183fc0a1cd0fc2f61cb5e	C:/Users/dell%207280/Downloads/bna/bna/broank.bss.design/assets/img/Laetus984c.png	(from https://broank.bss.design/)
